score_phrase,title,url,score,genre,release_year,release_month,release_day
Okay,True Skate,/games/true-skate/iphone-145482,6.7,Sports,2012,10,23
Amazing,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/3ds-116383,9.5,Adventure,2012,10,23
Amazing,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/vita-116380,9.5,Adventure,2012,10,23
Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ipad-135871,9,Adventure,2012,10,22
Great,Skylanders Giants,/games/skylanders-giants/xbox-360-128140,8,"Action, Adventure",2012,10,18
Great,Skylanders Giants,/games/skylanders-giants/wii-128141,8,"Action, Adventure",2012,10,18
Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/xbox-360-145420,7.5,"Shooter, RPG",2012,10,18
Great,Devil's Attorney,/games/devils-attorney/android-145462,8.3,Strategy,2012,10,17
Great,Devil's Attorney,/games/devils-attorney/iphone-145099,8.3,Strategy,2012,10,17
Okay,Code of Princess,/games/code-of-princess-135813/3ds-125676,6.9,"Action, RPG",2012,10,17
Great,SunFlowers,/games/sun-flowers-134128/vita-132435,8,Puzzle,2012,10,17
Bad,007 Legends,/games/007-legends/xbox-360-132394,4.5,Action,2012,10,16
Amazing,Super Hexagon,/games/super-hexagon/iphone-143440,9,Action,2012,9,19
Great,Machinarium,/games/machinarium/ps3-110942,8,Adventure,2012,9,18
Great,Final Fantasy Dimensions,/games/final-fantasy-dimensions/iphone-135306,8,RPG,2012,9,18
Great,They Bleed Pixels,/games/they-bleed-pixels/pc-141012,8.2,Platformer,2012,9,18
Good,Jet Set Radio,/games/jet-set-radio/vita-135073,7.5,Action,2012,9,17
Good,Jet Set Radio,/games/jet-set-radio/ps3-129168,7.5,Action,2012,9,17
Good,Jet Set Radio,/games/jet-set-radio/xbox-360-129165,7.5,Action,2012,9,17
Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/xbox-360-133009,8.5,Sports,2012,9,17
Amazing,F1 2012,/games/f1-2012/pc-130383,9,Racing,2012,9,17
Good,Darksiders II,/games/darksiders-2/xbox-360-14336768,7.5,Action,2012,8,14
Good,Pitfall,/games/pitfall-working-title/iphone-137420,7,Platformer,2012,8,13
Great,Dust: An Elysian Tail,/games/dust-an-elysian-tail-139696/xbox-360-77719,8.5,Platformer,2012,8,13
